year,Observed,Current forecast + historical growth,2% growth,2% growth + Gini reduction 1%,2% growth + Gini reduction 2%,4% growth
2010,20.99,,,,,
2011,19.14,,,,,
2012,17.86,,,,,
2013,15.48,,,,,
2014,14.44,,,,,
2015,13.34,,,,,
2016,12.48,,,,,
2017,11.72,,,,,
2018,11.06,,,,,
2019,10.69,,,,,
2020,11.22,,,,,
2021,10.97,,,,,
2022,10.49,,,,,
2023,10.19,,,,,
2024,10.04,,,,,
2025,9.856213,8.29,8.42,8.2,8.02,8.17
2026,,8.06,8.28,7.88,7.54,7.83
2027,,7.77,8.14,7.6,7.03,7.5
2028,,7.58,8.03,7.26,6.63,7.17
2029,,7.38,7.91,6.99,6.24,6.87
2030,,7.31,7.79,6.71,5.92,6.55
2031,,7.23,7.64,6.48,5.57,6.29
2032,,7.18,7.55,6.22,5.24,6.03
2033,,7.14,7.41,6,5,5.73
2034,,7.14,7.29,5.76,4.76,5.5
2035,,7.11,7.18,5.56,4.51,5.26
2036,,7.11,7.08,5.36,4.29,5.06
2037,,7.07,6.97,5.16,4.09,4.84
2038,,7.06,6.86,4.98,3.86,4.65
2039,,7.07,6.76,4.79,3.69,4.46
2040,,7.09,6.64,4.64,3.54,4.27
2041,,7.09,6.55,4.47,3.38,4.09
2042,,7.08,6.44,4.29,3.22,3.9
2043,,7.1,6.32,4.14,3.05,3.72
2044,,7.13,6.25,3.98,2.91,3.55
2045,,7.12,6.12,3.84,2.78,3.41
2046,,7.16,6.04,3.71,2.64,3.23
2047,,7.18,5.94,3.57,2.48,3.1
2048,,7.2,5.85,3.46,2.3,2.96
2049,,7.21,5.76,3.31,2.12,2.79
2050,,7.23,5.68,3.18,2,2.68
