year,Poverty rate at $3.00,Millions of poor at $3.0,Poverty rate at $4.20,Millions of poor at $4.2,Poverty rate at $8.30,Millions of poor at $8.3,Poverty rate at $3.0 (forecast),Poverty rate at $4.2 (forecast),Poverty rate at $8.3 (forecast),pop_in_poverty30_forecast,pop_in_poverty42_forecast,pop_in_poverty83_forecast,line3pct,millions3pct2030
1990,0.43414,2301,0.55614,2947,0.70365,3729,,,,,,,0,256
1991,0.43118,2323,0.55628,2998,0.70729,3811,,,,,,,0,256
1992,0.42509,2328,0.55385,3033,0.71151,3897,,,,,,,0,256
1993,0.42056,2340,0.55223,3073,0.71707,3990,,,,,,,0,256
1994,0.40733,2302,0.54621,3087,0.71845,4060,,,,,,,0,256
1995,0.39404,2260,0.53653,3078,0.71244,4087,,,,,,,0,256
1996,0.38074,2217,0.52833,3076,0.71321,4153,,,,,,,0,256
1997,0.37689,2227,0.52253,3087,0.70883,4188,,,,,,,0,256
1998,0.37917,2273,0.52219,3130,0.70807,4244,,,,,,,0,256
1999,0.37326,2269,0.52131,3169,0.71328,4336,,,,,,,0,256
2000,0.36205,2231,0.50889,3136,0.70569,4348,,,,,,,0,256
2001,0.35254,2202,0.49935,3119,0.69988,4371,,,,,,,0,256
2002,0.3374,2135,0.4858,3074,0.69283,4384,,,,,,,0,256
2003,0.32155,2061,0.4716,3023,0.68667,4401,,,,,,,0,256
2004,0.30262,1965,0.45444,2951,0.67398,4376,,,,,,,0,256
2005,0.2833,1863,0.43689,2873,0.66226,4355,,,,,,,0,256
2006,0.26992,1798,0.42213,2811,0.64981,4328,,,,,,,0,256
2007,0.25285,1705,0.40478,2730,0.63625,4291,,,,,,,0,256
2008,0.24138,1649,0.3927,2682,0.62549,4272,,,,,,,0,256
2009,0.2306,1595,0.38092,2635,0.6174,4270,,,,,,,0,256
2010,0.20984,1469,0.3583,2509,0.60208,4215,,,,,,,0,256
2011,0.19102,1354,0.33649,2385,0.58802,4167,,,,,,,0,256
2012,0.17825,1279,0.31986,2296,0.57525,4129,,,,,,,0,256
2013,0.15504,1126,0.29292,2128,0.55829,4057,,,,,,,0,256
2014,0.14508,1067,0.27865,2049,0.54654,4019,,,,,,,0,256
2015,0.13422,999,0.26271,1955,0.53454,3978,,,,,,,0,256
2016,0.12574,947,0.24852,1871,0.524,3945,,,,,,,0,256
2017,0.11793,898,0.23621,1799,0.51472,3919,,,,,,,0,256
2018,0.11119,856,0.22334,1719,0.50367,3877,,,,,,,0,256
2019,0.10763,837,0.21465,1670,0.49618,3859,,,,,,,0,256
2020,0.11412,896,0.22114,1737,0.50444,3962,,,,,,,0,256
2021,0.11327,897,0.21447,1699,0.48733,3860,,,,,,,0,256
2022,0.10889,870,0.20541,1641,0.48269,3856,,,,,,,0,256
2023,0.10618,856,0.19641,1584,0.47025,3792,,,,,,,0,256
2024,0.104,847,0.18928,1541,0.46071,3751,0.104,0.18928,0.46071,847,1541,3751,0,256
2025,,,,,,,0.10197,0.18306,0.45214,837,1503,3712,0,256
2026,,,,,,,0.09976,0.17724,0.44384,826,1468,3675,0,256
2027,,,,,,,0.09755,0.1715,0.43467,814,1432,3629,0,256
2028,,,,,,,0.09358,0.16372,0.42349,788,1378,3564,0,256
2029,,,,,,,0.08994,0.15652,0.41167,763,1327,3491,0,256
2030,,,,,,,0.0863,0.14999,0.39963,738,1282,3415,0,256
