country_code,Country Name,country_name_flourish,Region,Survey year,Gini index,Welfare type,Classification
AGO,Angola,Angola,Sub-Saharan Africa,2018.17,51.2642889911,consumption,High inequality
ALB,Albania,Albania,Europe & Central Asia,2020,29.419629817100002,consumption,Low inequality
ARE,United Arab Emirates,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",2018,26.3990043944,income,Low inequality
ARG,Argentina,Argentina,Latin America & Caribbean,2024,42.3533182338,income,High inequality
ARM,Armenia,Armenia,Europe & Central Asia,2023,27.154651387399998,consumption,Low inequality
AUS,Australia,Australia,East Asia & Pacific,2020,33.829019172,income,Moderate inequality
AUT,Austria,Austria,Europe & Central Asia,2023,31.2046801955,income,Moderate inequality
AZE,Azerbaijan,Azerbaijan,Europe & Central Asia,2005,26.554907705,consumption,Low inequality
BDI,Burundi,Burundi,Sub-Saharan Africa,2020.15,37.4560848246,consumption,Moderate inequality
BEL,Belgium,Belgium,Europe & Central Asia,2023,26.823104034099998,income,Low inequality
BEN,Benin,Benin,Sub-Saharan Africa,2021.75,34.3958073714,consumption,Moderate inequality
BFA,Burkina Faso,Burkina Faso,Sub-Saharan Africa,2021.67,37.391286077000004,consumption,Moderate inequality
BGD,Bangladesh,Bangladesh,South Asia,2022,30.930253917599998,consumption,Moderate inequality
BGR,Bulgaria,Bulgaria,Europe & Central Asia,2023,39.4705346671,income,Moderate inequality
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe & Central Asia,2011,33.030185869899995,consumption,Moderate inequality
BLR,Belarus,Belarus,Europe & Central Asia,2020,24.383355244300002,consumption,Low inequality
BLZ,Belize,Belize,Latin America & Caribbean,2018.2,39.9495853882,consumption,Moderate inequality
BOL,Bolivia,Bolivia,Latin America & Caribbean,2023,42.050114717199996,income,High inequality
BRA,Brazil,Brazil,Latin America & Caribbean,2023,51.639437633499995,income,High inequality
BRB,Barbados,Barbados,Latin America & Caribbean,2016,34.068036279000005,consumption,Moderate inequality
BTN,Bhutan,Bhutan,South Asia,2022,28.4599218514,consumption,Low inequality
BWA,Botswana,Botswana,Sub-Saharan Africa,2015.85,54.9073596778,consumption,High inequality
CAF,Central African Republic,Central African Republic,Sub-Saharan Africa,2021,43.0344590196,consumption,High inequality
CAN,Canada,Canada,North America,2021,31.114634007000003,income,Moderate inequality
CHE,Switzerland,Switzerland,Europe & Central Asia,2022,33.7951766631,income,Moderate inequality
CHL,Chile,Chile,Latin America & Caribbean,2022,43.0427808354,income,High inequality
CHN,China,China,East Asia & Pacific,2022,36.0195142788,consumption,Moderate inequality
CIV,Côte d'Ivoire,Côte d'Ivoire,Sub-Saharan Africa,2021.75,35.2753624351,consumption,Moderate inequality
CMR,Cameroon,Cameroon,Sub-Saharan Africa,2021.67,42.176072455399996,consumption,High inequality
COD,"Congo, Dem. Rep.",Democratic Republic of the Congo,Sub-Saharan Africa,2020,44.6732410079,consumption,High inequality
COG,"Congo, Rep.",Republic of the Congo,Sub-Saharan Africa,2011.67,48.9376934903,consumption,High inequality
COL,Colombia,Colombia,Latin America & Caribbean,2023,53.8819247284,income,High inequality
COM,Comoros,Comoros,Sub-Saharan Africa,2014,45.3321861568,consumption,High inequality
CPV,Cabo Verde,Cape Verde,Sub-Saharan Africa,2015,42.3810873608,consumption,High inequality
CRI,Costa Rica,Costa Rica,Latin America & Caribbean,2024,45.829142291000004,income,High inequality
CYP,Cyprus,Cyprus,Europe & Central Asia,2023,31.838399725,income,Moderate inequality
CZE,Czechia,Czech Republic,Europe & Central Asia,2023,25.7139986913,income,Low inequality
DEU,Germany,Germany,Europe & Central Asia,2020,32.4334503407,income,Moderate inequality
DJI,Djibouti,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",2017,41.586015682799996,consumption,High inequality
DNK,Denmark,Denmark,Europe & Central Asia,2023,29.924849655899997,income,Low inequality
DOM,Dominican Republic,Dominican Republic,Latin America & Caribbean,2024,38.9712571405,income,Moderate inequality
DZA,Algeria,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",2011.17,27.6157308158,consumption,Low inequality
ECU,Ecuador,Ecuador,Latin America & Caribbean,2024,45.1954747261,income,High inequality
EGY,"Egypt, Arab Rep.",Egypt,"Middle East, North Africa, Afghanistan & Pakistan",2021.77,28.4820371966,consumption,Low inequality
ESP,Spain,Spain,Europe & Central Asia,2023,33.4079340811,income,Moderate inequality
EST,Estonia,Estonia,Europe & Central Asia,2023,30.7073770912,income,Moderate inequality
ETH,Ethiopia,Ethiopia,Sub-Saharan Africa,2021,31.1417922577,consumption,Moderate inequality
FIN,Finland,Finland,Europe & Central Asia,2023,27.399832904799997,income,Low inequality
FJI,Fiji,Fiji,East Asia & Pacific,2019.15,30.7068674315,consumption,Moderate inequality
FRA,France,France,Europe & Central Asia,2023,31.809308829600003,income,Moderate inequality
FSM,"Micronesia, Fed. Sts.",Federated States of Micronesia,East Asia & Pacific,2013,40.0520394621,consumption,High inequality
GAB,Gabon,Gabon,Sub-Saharan Africa,2017,38.0243722915,consumption,Moderate inequality
GBR,United Kingdom,United Kingdom,Europe & Central Asia,2021,32.4146343314,income,Moderate inequality
GEO,Georgia,Georgia,Europe & Central Asia,2024,33.853803594800006,consumption,Moderate inequality
GHA,Ghana,Ghana,Sub-Saharan Africa,2016.75,43.5085962273,consumption,High inequality
GIN,Guinea,Guinea,Sub-Saharan Africa,2018.5,29.591953001,consumption,Low inequality
GMB,"Gambia, The",The Gambia,Sub-Saharan Africa,2020.08,38.7572041755,consumption,Moderate inequality
GNB,Guinea-Bissau,Guinea-Bissau,Sub-Saharan Africa,2021.75,33.4350673596,consumption,Moderate inequality
GNQ,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,2022.61,38.5423620057,consumption,Moderate inequality
GRC,Greece,Greece,Europe & Central Asia,2023,33.4387086284,income,Moderate inequality
GRD,Grenada,Grenada,Latin America & Caribbean,2018.36,43.816407844400004,consumption,High inequality
GTM,Guatemala,Guatemala,Latin America & Caribbean,2023,45.212684224600004,income,High inequality
GUY,Guyana,Guyana,Latin America & Caribbean,1998,45.052830058,income,High inequality
HND,Honduras,Honduras,Latin America & Caribbean,2024,45.676117381,income,High inequality
HRV,Croatia,Croatia,Europe & Central Asia,2023,30.1059584299,income,Moderate inequality
HTI,Haiti,Haiti,Latin America & Caribbean,2012,41.1023644344,consumption,High inequality
HTI,Haiti,Haiti,Latin America & Caribbean,2012,60.4508015631,income,High inequality
HUN,Hungary,Hungary,Europe & Central Asia,2017,30.5825455871,income,Moderate inequality
IDN,Indonesia,Indonesia,East Asia & Pacific,2024,34.894393789599995,consumption,Moderate inequality
IND,India,India,South Asia,2022.58,25.5149963499,consumption,Low inequality
IRL,Ireland,Ireland,Europe & Central Asia,2023,28.972471842199997,income,Low inequality
IRN,"Iran, Islamic Rep.",Iran,"Middle East, North Africa, Afghanistan & Pakistan",2023.23,35.8847934923,consumption,Moderate inequality
IRQ,Iraq,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",2023,29.7740409958,consumption,Low inequality
ISL,Iceland,Iceland,Europe & Central Asia,2019,26.802556869600004,income,Low inequality
