Poverty line,year,East Asia Pacific,South Asia,Sub-Saharan Africa,Latin America and Caribbean,"Middle East, North Africa, Afghanistan & Pakistan",Europe and Central Asia,North America
$3.00 (2021 PPP),1981,1218448219,461541800,231183811,73487536,110588574,31934665,1480494
$4.20 (2021 PPP),1981,1291172671,668182125,283986849,112300986,145082565,61284667,1939477
$8.30 (2021 PPP),1981,1375034257,804515061,357391061,206281915,220792712,173145101,4608463
$3.00 (2021 PPP),1982,1225510421,458473820,242083450,77577749,112217725,32112327,1838512
$4.20 (2021 PPP),1982,1308174615,676205937,296378753,117362508,147654056,61279791,2323916
$8.30 (2021 PPP),1982,1394873980,823193378,370404410,212452249,227261225,173812489,5457349
$3.00 (2021 PPP),1983,1226455057,440208083,255906521,91128626,113698747,31614961,1703022
$4.20 (2021 PPP),1983,1322035506,674149686,310740287,134587332,150534615,60496524,2291504
$8.30 (2021 PPP),1983,1414815035,840742797,384245697,229013957,233181663,172477177,5950915
$3.00 (2021 PPP),1984,1211522248,449558565,266786702,91731600,115397134,32019865,1567268
$4.20 (2021 PPP),1984,1330425799,689112610,322676596,136000754,153273344,60926124,2106805
$8.30 (2021 PPP),1984,1434806826,859852926,396589410,233146320,239033268,173334664,5352455
$3.00 (2021 PPP),1985,1196859297,458807400,274712677,87312657,117532877,32460432,1563722
$4.20 (2021 PPP),1985,1340437939,703749232,332371635,132123252,156523278,61305025,2141451
$8.30 (2021 PPP),1985,1456207262,878946410,408460289,232943840,245344141,172857680,5192950
$3.00 (2021 PPP),1986,1186266723,470653677,282256313,68001601,120572875,32793915,1673889
$4.20 (2021 PPP),1986,1350283154,720545351,341623019,108355434,161438426,61839063,2190718
$8.30 (2021 PPP),1986,1477109855,898689685,420693698,213038787,254092136,173259217,5275090
$3.00 (2021 PPP),1987,1161991798,486517716,290509918,81229402,124637638,32993565,1414840
$4.20 (2021 PPP),1987,1354350925,740505050,351900642,124188703,167664666,61552110,1933821
$8.30 (2021 PPP),1987,1498028489,919125011,433581021,231168726,264004941,171525721,4686102
$3.00 (2021 PPP),1988,1114814840,496067914,299269230,84908366,126773612,32179643,1279930
$4.20 (2021 PPP),1988,1347396173,756513002,361899987,128536500,171466245,60563142,1763087
$8.30 (2021 PPP),1988,1518245216,939713601,445905007,237130857,271734347,170265457,4222489
$3.00 (2021 PPP),1989,1215647516,499829793,309092589,83280362,130185013,32834149,1459906
$4.20 (2021 PPP),1989,1386917441,769176448,372852776,127508500,177427931,61260800,1901337
$8.30 (2021 PPP),1989,1535129958,960878892,458653804,240420298,281946433,170824146,4274620
$3.00 (2021 PPP),1990,1218386337,503361711,320618795,91356504,131180985,34177374,1511132
$4.20 (2021 PPP),1990,1399933087,781638893,384970370,137109065,177771181,63744567,1941006
$8.30 (2021 PPP),1990,1555516685,982215873,471848963,253182446,284665822,177059922,4338700
$3.00 (2021 PPP),1991,1217186896,513696441,336150937,90119537,126027245,38558102,1653364
$4.20 (2021 PPP),1991,1408134481,798457072,399583729,136513553,181971784,70723481,2153645
$8.30 (2021 PPP),1991,1574131866,1004423599,486181531,256388445,294948333,190354808,4806958
$3.00 (2021 PPP),1992,1204137969,517332756,351331903,92328148,114440663,47029460,1674926
$4.20 (2021 PPP),1992,1406612417,810740158,415103545,138326908,177181397,83301774,2222023
$8.30 (2021 PPP),1992,1590674836,1025862363,501125904,262901191,299435559,211613284,5439233
$3.00 (2021 PPP),1993,1189783850,519468257,365061315,93733051,118172017,52240802,1885010
$4.20 (2021 PPP),1993,1401085253,820727966,431114770,141803674,181537968,94411777,2348404
$8.30 (2021 PPP),1993,1605691880,1046755826,518565422,266063236,307007154,240879747,5392975
$3.00 (2021 PPP),1994,1134642845,522533398,375247784,92131978,110120840,65122620,1956836
$4.20 (2021 PPP),1994,1376016161,830838199,443341104,140301949,180299790,113306722,2458032
$8.30 (2021 PPP),1994,1615727117,1066453529,533159687,265036634,313872181,260446664,5154079
$3.00 (2021 PPP),1995,1081893978,529299958,384353262,89183835,111241340,62596296,1854459
$4.20 (2021 PPP),1995,1352530431,843651569,453979054,138525550,184364446,102329551,2403015
$8.30 (2021 PPP),1995,1628207397,1085405675,546505352,265383304,322383340,234085279,4972549
$3.00 (2021 PPP),1996,1022370751,536234044,391160770,97213402,103931871,64224594,1788980
$4.20 (2021 PPP),1996,1316475500,857461785,464356642,146012815,181194301,108493471,2250684
$8.30 (2021 PPP),1996,1632101716,1105325653,559666377,273478957,325635303,251978949,4549141
$3.00 (2021 PPP),1997,1019471747,546103683,399164037,96589765,104677154,58798947,2022423
$4.20 (2021 PPP),1997,1311112401,871638184,475978108,145401826,181821537,98938344,2433885
$8.30 (2021 PPP),1997,1642848668,1125647617,573909166,272676524,328541490,239474840,4979395
$3.00 (2021 PPP),1998,1038215864,555725544,409604089,96841884,109227806,60814921,2350298
$4.20 (2021 PPP),1998,1321660048,886078621,489984467,144579637,182652792,102307881,2773977
$8.30 (2021 PPP),1998,1660392967,1146085788,590426620,274312733,326959050,240842319,5163568
$3.00 (2021 PPP),1999,997689623,561852150,418616793,99766612,113112538,75735579,2028475
$4.20 (2021 PPP),1999,1299782786,898659047,503962254,150308377,186140318,127497022,2410180
$8.30 (2021 PPP),1999,1668263051,1166287485,607721838,282411902,331378456,274897398,4652201
$3.00 (2021 PPP),2000,955136654,570413595,425251333,94032231,117928582,66027300,2114127
$4.20 (2021 PPP),2000,1261899271,912730313,515328556,142259880,190329318,110584821,2574500
$8.30 (2021 PPP),2000,1663798813,1186796994,624403416,276254968,334276769,258047001,4826444
$3.00 (2021 PPP),2001,911503596,579996304,428467144,94400254,124528629,60177688,2605738
$4.20 (2021 PPP),2001,1221272071,928188877,524080555,143646561,198029093,100123007,3176655
$8.30 (2021 PPP),2001,1653961275,1207694130,640037388,276864586,343297541,243514642,5471895
$3.00 (2021 PPP),2002,835149922,589715970,437296439,91438399,125203454,53599327,2494456
$4.20 (2021 PPP),2002,1158078859,942639660,536321043,143396793,200670137,89799678,2992563
$8.30 (2021 PPP),2002,1631972153,1227813850,656631357,281803977,350572446,229556182,5595264
$3.00 (2021 PPP),2003,762155267,594613661,441913338,89775258,117840753,51823816,2923752
$4.20 (2021 PPP),2003,1094401124,953661676,547819906,140195731,198701291,84615458,3414827
$8.30 (2021 PPP),2003,1609773530,1246458932,675113532,281828030,360298700,221776347,6123420
$3.00 (2021 PPP),2004,697097724,596505381,431628761,83800264,108209651,44568398,3051827
$4.20 (2021 PPP),2004,1041099639,962260368,547919264,133376916,190164878,72201148,3571953
$8.30 (2021 PPP),2004,1584489053,1264628864,690405398,277411386,354807575,198075494,6201118
$3.00 (2021 PPP),2005,616601891,583847534,431552379,79013880,104786352,44087648,3029064
$4.20 (2021 PPP),2005,970303334,961666068,552702494,126232628,190257865,68243320,3484703
$8.30 (2021 PPP),2005,1551990865,1280936328,706761303,266624270,361098702,181337536,6148737
$3.00 (2021 PPP),2006,596286912,556720478,434875797,67372200,100558470,38777370,3096694
$4.20 (2021 PPP),2006,935548714,951205517,561395102,111087807,189448974,59177177,3538860
$8.30 (2021 PPP),2006,1523002124,1295687537,723184526,249482577,366819479,163356128,6175325
$3.00 (2021 PPP),2007,541906935,528586975,437375585,61199216,97688729,35567291,3038100
$4.20 (2021 PPP),2007,873221073,938408816,569514299,103623636,188925604,52861835,3496269
$8.30 (2021 PPP),2007,1478342990,1309817105,739920354,240291662,372094092,144748361,5994178
$3.00 (2021 PPP),2008,510615345,517992023,439122094,56911137,87820082,33007734,3299865
$4.20 (2021 PPP),2008,836123568,937804695,577130838,98070837,182101775,47277897,3801139
$8.30 (2021 PPP),2008,1451783236,1325409947,756905669,231750462,375671790,124435068,6443643
$3.00 (2021 PPP),2009,469612492,493320169,447313261,55298475,93287336,33198259,2947351
$4.20 (2021 PPP),2009,785454320,926199664,589763944,96297883,186431405,47032348,3455000
$8.30 (2021 PPP),2009,1406682937,1339498710,777387066,232775608,380293973,127708976,5927152
$3.00 (2021 PPP),2010,417489378,439272995,441986829,49829682,83528560,33578393,3457244
$4.20 (2021 PPP),2010,716163624,883564233,592113042,88145757,177675729,46902275,3972653
$8.30 (2021 PPP),2010,1340839421,1345525943,793257351,224114227,382818031,121837798,6934610
$3.00 (2021 PPP),2011,340581378,403480637,445152671,45884650,82907357,32431846,3337570
$4.20 (2021 PPP),2011,632551714,843604837,600781360,81602973,176698240,45548009,3969700
$8.30 (2021 PPP),2011,1282533300,1347099100,812676226,214400071,388019215,115475205,7145972
$3.00 (2021 PPP),2012,297894582,374341837,445682442,45071541,80252173,32663349,3397860
$4.20 (2021 PPP),2012,571126115,813753242,608560346,79423362,173173971,45653650,3951240
$8.30 (2021 PPP),2012,1221200044,1352820041,832585153,209767895,391577664,113637243,6929335
$3.00 (2021 PPP),2013,203762614,342166520,448112961,41424584,77632748,9967756,3432480
$4.20 (2021 PPP),2013,454534563,783991410,616081393,75491338,171537317,22537018,4116856
$8.30 (2021 PPP),2013,1133351112,1360767076,852119253,205383399,401870487,96151837,6857807
$3.00 (2021 PPP),2014,177298304,304430131,452143633,39728900,78231268,10920521,4139602
$4.20 (2021 PPP),2014,406342645,744128628,624404199,73132459,172574386,23866290,4762108
$8.30 (2021 PPP),2014,1065339186,1366002821,871679057,204262932,408715813,95771126,7550173
$3.00 (2021 PPP),2015,139378320,263319703,465132171,37425667,78665287,10947910,3920582
$4.20 (2021 PPP),2015,349088160,695595031,640639786,68674967,173038094,23484389,4505163
$8.30 (2021 PPP),2015,1002978936,1367222137,895811275,195539494,410131661,98623795,7544357
$3.00 (2021 PPP),2016,116215927,223466167,475202796,38812021,80204879,9014038,3741128
$4.20 (2021 PPP),2016,302705074,641928332,654217574,69904531,177647379,20370441,4310623
$8.30 (2021 PPP),2016,944011682,1364530684,919534996,196124074,418620314,95339352,6940076
$3.00 (2021 PPP),2017,96554905,187858211,482059933,38814299,79494154,9062096,4154336
$4.20 (2021 PPP),2017,273254258,587200130,666263163,69174178,178431648,19566077,4756971
$8.30 (2021 PPP),2017,902488256,1358299176,942783635,195133992,424895745,88354379,7397880
$3.00 (2021 PPP),2018,77153466,158024520,489897121,38738944,80754048,7659152,3617479
$4.20 (2021 PPP),2018,233460637,533241381,680915864,68725150,181486424,17037343,4198741
$8.30 (2021 PPP),2018,841323610,1349563829,969010565,193923389,434322194,82151375,6580834
$3.00 (2021 PPP),2019,60958285,139890354,499852352,39614487,86431466,7101979,3317937
$4.20 (2021 PPP),2019,191351182,500937560,698865453,69162949,189174760,16249138,3801361
$8.30 (2021 PPP),2019,791348007,1348790089,995963878,193714957,445042580,78443032,6015807
$3.00 (2021 PPP),2020,64525474,152221028,537750202,37592965,95334803,7832560,1122734
$4.20 (2021 PPP),2020,176827537,529042244,744116298,67214898,201037976,17167176,1560564
$8.30 (2021 PPP),2020,809081260,1375491087,1035599794,196641007,465533598,75133074,4775266
$3.00 (2021 PPP),2021,62251884,128661609,554118896,40575371,103132161,7397800,1009587
$4.20 (2021 PPP),2021,154573633,482191437,768827077,69920332,206299954,15063582,1875561
$8.30 (2021 PPP),2021,693359255,1364089921,1064725169,201536567,467384500,65298544,3532794
$3.00 (2021 PPP),2022,57382153,101009429,561862876,32966613,105281908,6965594,4492741
$4.20 (2021 PPP),2022,152988959,419088607,783244189,60048290,206725489,13976166,5043570
$8.30 (2021 PPP),2022,704962113,1340831780,1090507388,182804952,467066546,62880981,7392505
$3.00 (2021 PPP),2023,52108585,77742411,575072566,30404069,110818141,6053099,4060493
$4.20 (2021 PPP),2023,138537363,356049455,803672964,56752100,212602436,11668013,4599780
$8.30 (2021 PPP),2023,659153596,1310868400,1118992439,174204416,472948843,48983722,7008347
$3.00 (2021 PPP),2024,47161467,63438118,582128513,28352762,116848645,5255665,3576973
$4.20 (2021 PPP),2024,130383969,308163374,816953378,52794918,218672543,10060944,4088230
$8.30 (2021 PPP),2024,631325161,1282253317,1143652070,163392005,479692313,44366714,6320816
$3.00 (2021 PPP),2025,42482719,52191935,585321572,27439861,121277280,4918128,3578043
$4.20 (2021 PPP),2025,119856963,269022414,826082418,51250870,223513173,9209041,4091983
$8.30 (2021 PPP),2025,599973898,1252816229,1167227688,161163279,485302933,39620646,6284967
$3.00 (2021 PPP),2026,36340739,42898800,572958406,25629668,101424979,4705723,3577838
$4.20 (2021 PPP),2026,105928550,233629395,815498404,47882949,193357784,8789399,4077084
$8.30 (2021 PPP),2026,547991636,1220254248,1168004526,150354277,444032128,37913815,6224803
