Poverty line,Year,World (Observed),World,East Asia & Pacific (Observed),East Asia & Pacific,Europe & Central Asia (Observed),Europe & Central Asia,Latin America & Caribbean (Observed),Latin America & Caribbean,"Middle East, North Africa, Afghanistan & Pakistan (Observed)","Middle East, North Africa, Afghanistan & Pakistan",North America (Observed),North America,South Asia (Observed),South Asia,Sub-Saharan Africa (Observed),Sub-Saharan Africa,Eastern & Southern Africa (Observed),Eastern & Southern Africa,Western & Central Africa (Observed),Western & Central Africa
$3.00 (2021 PPP),1990,43.38802395577621,NA,66.96666435213918,NA,4.0202488813214625,NA,20.719426626943537,NA,34.243415192803,NA,0.47231534589478363,NA,49.67223527812904,NA,61.52318223770409,NA,NA,61.6018038670179,61.406225357241695,NA
$3.00 (2021 PPP),1991,43.08288969661789,NA,65.90702146919753,NA,4.523514876791514,NA,20.065588268275594,NA,31.981254602471054,NA,0.5202351663072005,NA,49.62965876772094,NA,62.78532674321363,NA,NA,62.845650255965545,62.69549329670778,NA
$3.00 (2021 PPP),1992,42.433163081150894,NA,64.21891399469425,NA,5.49244264207546,NA,20.192388917130025,NA,28.20695823442294,NA,0.514318390669007,NA,48.93575546596411,NA,63.86391300451746,NA,NA,64.00635815459319,63.65198685872655,NA
$3.00 (2021 PPP),1993,41.93418174736601,NA,62.50221640306821,NA,6.0819875604409654,NA,20.143116607030148,NA,28.32515622209283,NA,0.5790240223725555,NA,48.12655613085383,NA,64.57390842266739,NA,64.86316886595458,NA,64.14325874897554,NA
$3.00 (2021 PPP),1994,40.57448839210625,NA,58.72303941118143,NA,7.569143297502225,NA,19.464430247579326,NA,25.716909929093834,NA,0.6012261947536799,NA,47.439724320396415,NA,64.65041160903243,NA,64.77045338986366,NA,64.47168554243974,NA
$3.00 (2021 PPP),1995,39.214827941686956,NA,55.18101712108141,NA,7.268631035580294,NA,18.530289924334863,NA,25.336263358502986,NA,0.5667860669431718,NA,47.10659451236217,NA,64.48698906646658,NA,64.32113335480403,NA,64.7336130424489,NA
$3.00 (2021 PPP),1996,37.94371896750561,NA,51.64639306908817,NA,7.4501577670111025,NA,19.87768534317608,NA,23.087696712218573,NA,0.5432039191635852,NA,46.78838508354956,46.78838508354956,63.9081258140975,NA,63.589296450771386,63.589296450771386,64.3818611841444,NA
$3.00 (2021 PPP),1997,37.58952949789052,NA,51.00059025463608,NA,6.792312420870193,NA,19.431594896225466,NA,22.702162809434302,NA,0.5988055365235085,NA,NA,46.72365421841712,63.513846955783414,NA,NA,63.50547636353038,63.52626515201162,NA
$3.00 (2021 PPP),1998,37.85270855807003,NA,51.47802575590526,NA,6.991814677717485,NA,19.179075575726973,NA,23.12943955030861,NA,0.6898823801677993,NA,NA,46.635607539604955,63.4636202955147,NA,63.988530820953,NA,62.68621840032124,NA
$3.00 (2021 PPP),1999,37.3066954762939,NA,49.09842395949672,NA,8.724729518593115,NA,19.46047148765811,NA,23.367919990224305,NA,0.5883594086068564,NA,NA,46.264157265605945,63.136879195307024,NA,63.801722010406635,NA,62.15330547632863,62.15330547632863
