year,Observed,Current forecast + historical growth,2% growth,2% growth + Gini reduction 1%,2% growth + Gini reduction 2%,4% growth
2010,60.21,,,,,
2011,58.92,,,,,
2012,57.64,,,,,
2013,55.93,,,,,
2014,54.76,,,,,
2015,53.56,,,,,
2016,52.52,,,,,
2017,51.62,,,,,
2018,50.49,,,,,
2019,49.74,,,,,
2020,50.55,,,,,
2021,48.79,,,,,
2022,48.34,,,,,
2023,47.14,,,,,
2024,46.28,,,,,
2025,45.55,45.55,45.55,45.55,45.55,45.55
2026,,44.75,45.23,45.07,44.91,44.67
2027,,43.91,44.93,44.6,44.32,43.81
2028,,43.01,44.6,44.18,43.75,42.94
2029,,42.11,44.31,43.71,43.22,42.05
2030,,41.16,43.99,43.29,42.67,41.14
2031,,40.52,43.66,42.81,42.14,40.24
2032,,39.88,43.34,42.37,41.63,39.34
2033,,39.23,43.02,41.93,41.11,38.39
2034,,38.59,42.71,41.49,40.59,37.44
2035,,37.93,42.37,41.02,40.08,36.45
2036,,37.29,42.03,40.56,39.56,35.48
2037,,36.64,41.7,40.08,39.1,34.51
2038,,35.99,41.35,39.59,38.58,33.54
2039,,35.44,40.99,39.1,38.07,32.55
2040,,34.85,40.62,38.59,37.52,31.57
2041,,34.35,40.24,38.11,36.94,30.56
2042,,33.84,39.9,37.6,36.31,29.61
2043,,33.37,39.5,37.09,35.64,28.7
2044,,32.94,39.13,36.57,34.95,27.81
2045,,32.52,38.7,36.08,34.18,26.9
2046,,32.13,38.32,35.51,33.42,26
2047,,31.78,37.92,34.92,32.57,25.1
2048,,31.44,37.55,34.34,31.79,24.29
2049,,31.12,37.14,33.76,30.98,23.48
2050,,30.86,36.74,33.15,30.22,22.72
