Poverty Line,year,Low-income,Lower-middle-income,Upper-middle-income
$3.00 (2021PPP),2019,1,1,1
$3.00 (2021PPP),2020,1.06,1.06,0.98
$3.00 (2021PPP),2021,1.04,1.02,0.99
$3.00 (2021PPP),2022,1,0.96,0.89
$3.00 (2021PPP),2023,0.98,0.92,0.83
$3.00 (2021PPP),2024,0.96,0.89,0.79
$3.00 (2021PPP),2025,0.94,0.86,0.78
$8.30 (2021PPP),2019,1,1,1
$8.30 (2021PPP),2020,1.01,1.02,1.01
$8.30 (2021PPP),2021,0.97,0.97,0.88
$8.30 (2021PPP),2022,0.97,0.96,0.87
$8.30 (2021PPP),2023,0.95,0.93,0.81
$8.30 (2021PPP),2024,0.93,0.91,0.77
$8.30 (2021PPP),2025,0.91,0.89,0.75
