Region,Country Name,Millions of poor,Poverty Line
Latin America & Caribbean,Aruba,0,$3.00 (2021 PPP)
Latin America & Caribbean,Aruba,0,$4.20 (2021 PPP)
Latin America & Caribbean,Aruba,0.01,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Afghanistan,20.51,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Afghanistan,31.01,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Afghanistan,42.36,$8.30 (2021 PPP)
Sub-Saharan Africa,Angola,17.17,$3.00 (2021 PPP)
Sub-Saharan Africa,Angola,23.18,$4.20 (2021 PPP)
Sub-Saharan Africa,Angola,33.27,$8.30 (2021 PPP)
Europe & Central Asia,Albania,0,$3.00 (2021 PPP)
Europe & Central Asia,Albania,0.02,$4.20 (2021 PPP)
Europe & Central Asia,Albania,0.25,$8.30 (2021 PPP)
Europe & Central Asia,Andorra,0,$3.00 (2021 PPP)
Europe & Central Asia,Andorra,0,$4.20 (2021 PPP)
Europe & Central Asia,Andorra,0,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",United Arab Emirates,0,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",United Arab Emirates,0,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",United Arab Emirates,0.02,$8.30 (2021 PPP)
Europe & Central Asia,Armenia,0.02,$3.00 (2021 PPP)
Europe & Central Asia,Armenia,0.13,$4.20 (2021 PPP)
Europe & Central Asia,Armenia,1.21,$8.30 (2021 PPP)
East Asia & Pacific,American Samoa,0,$3.00 (2021 PPP)
East Asia & Pacific,American Samoa,0,$4.20 (2021 PPP)
East Asia & Pacific,American Samoa,0,$8.30 (2021 PPP)
Latin America & Caribbean,Antigua and Barbuda,0,$3.00 (2021 PPP)
Latin America & Caribbean,Antigua and Barbuda,0,$4.20 (2021 PPP)
Latin America & Caribbean,Antigua and Barbuda,0.01,$8.30 (2021 PPP)
East Asia & Pacific,Australia,0.23,$3.00 (2021 PPP)
East Asia & Pacific,Australia,0.27,$4.20 (2021 PPP)
East Asia & Pacific,Australia,0.38,$8.30 (2021 PPP)
Europe & Central Asia,Austria,0.05,$3.00 (2021 PPP)
Europe & Central Asia,Austria,0.05,$4.20 (2021 PPP)
Europe & Central Asia,Austria,0.09,$8.30 (2021 PPP)
Europe & Central Asia,Azerbaijan,0,$3.00 (2021 PPP)
Europe & Central Asia,Azerbaijan,0,$4.20 (2021 PPP)
Europe & Central Asia,Azerbaijan,0.07,$8.30 (2021 PPP)
Sub-Saharan Africa,Burundi,10.65,$3.00 (2021 PPP)
Sub-Saharan Africa,Burundi,12.65,$4.20 (2021 PPP)
Sub-Saharan Africa,Burundi,14.3,$8.30 (2021 PPP)
Europe & Central Asia,Belgium,0.01,$3.00 (2021 PPP)
Europe & Central Asia,Belgium,0.01,$4.20 (2021 PPP)
Europe & Central Asia,Belgium,0.03,$8.30 (2021 PPP)
Sub-Saharan Africa,Benin,3.02,$3.00 (2021 PPP)
Sub-Saharan Africa,Benin,6.27,$4.20 (2021 PPP)
Sub-Saharan Africa,Benin,12.49,$8.30 (2021 PPP)
Sub-Saharan Africa,Burkina Faso,9.62,$3.00 (2021 PPP)
Sub-Saharan Africa,Burkina Faso,15.13,$4.20 (2021 PPP)
Sub-Saharan Africa,Burkina Faso,21.96,$8.30 (2021 PPP)
South Asia,Bangladesh,6.76,$3.00 (2021 PPP)
South Asia,Bangladesh,27.01,$4.20 (2021 PPP)
South Asia,Bangladesh,115.51,$8.30 (2021 PPP)
Europe & Central Asia,Bulgaria,0.06,$3.00 (2021 PPP)
Europe & Central Asia,Bulgaria,0.08,$4.20 (2021 PPP)
Europe & Central Asia,Bulgaria,0.23,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Bahrain,0,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Bahrain,0,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Bahrain,0.01,$8.30 (2021 PPP)
Latin America & Caribbean,"Bahamas, The",0,$3.00 (2021 PPP)
Latin America & Caribbean,"Bahamas, The",0.01,$4.20 (2021 PPP)
Latin America & Caribbean,"Bahamas, The",0.03,$8.30 (2021 PPP)
Europe & Central Asia,Bosnia and Herzegovina,0.01,$3.00 (2021 PPP)
Europe & Central Asia,Bosnia and Herzegovina,0.02,$4.20 (2021 PPP)
Europe & Central Asia,Bosnia and Herzegovina,0.22,$8.30 (2021 PPP)
Europe & Central Asia,Belarus,0,$3.00 (2021 PPP)
Europe & Central Asia,Belarus,0,$4.20 (2021 PPP)
Europe & Central Asia,Belarus,0.06,$8.30 (2021 PPP)
Latin America & Caribbean,Belize,0,$3.00 (2021 PPP)
Latin America & Caribbean,Belize,0.01,$4.20 (2021 PPP)
Latin America & Caribbean,Belize,0.07,$8.30 (2021 PPP)
North America,Bermuda,0,$3.00 (2021 PPP)
North America,Bermuda,0,$4.20 (2021 PPP)
North America,Bermuda,0,$8.30 (2021 PPP)
Latin America & Caribbean,Bolivia,0.28,$3.00 (2021 PPP)
Latin America & Caribbean,Bolivia,0.64,$4.20 (2021 PPP)
Latin America & Caribbean,Bolivia,2.32,$8.30 (2021 PPP)
Latin America & Caribbean,Brazil,5.97,$3.00 (2021 PPP)
Latin America & Caribbean,Brazil,12.4,$4.20 (2021 PPP)
