year,Global Prosperity Gap,Global Prosperity Gap (forecast)
1990,10.15,NA
1991,10.11,NA
1992,10.03,NA
1993,9.92,NA
1994,9.66,NA
1995,9.4,NA
1996,9.23,NA
1997,9.19,NA
1998,9.28,NA
1999,9.15,NA
2000,9,NA
2001,8.8,NA
2002,8.49,NA
2003,8.23,NA
2004,7.91,NA
2005,7.61,NA
2006,7.36,NA
2007,7.08,NA
2008,6.88,NA
2009,6.73,NA
2010,6.44,NA
2011,6.2,NA
2012,6,NA
2013,5.67,NA
2014,5.54,NA
2015,5.4,NA
2016,5.3,NA
2017,5.2,NA
2018,5.1,NA
2019,5.03,NA
2020,5.15,NA
2021,5.05,NA
2022,4.99,NA
2023,4.9,NA
2024,4.84,4.84
2025,NA,4.78
