year,Observed,Current forecast + historical growth,2% growth,2% growth + Gini reduction 1%,2% growth + Gini reduction 2%,4% growth
2010,20.99,,,,,
2011,19.14,,,,,
2012,17.86,,,,,
2013,15.48,,,,,
2014,14.44,,,,,
2015,13.34,,,,,
2016,12.48,,,,,
2017,11.72,,,,,
2018,11.06,,,,,
2019,10.69,,,,,
2020,11.22,,,,,
2021,10.97,,,,,
2022,10.49,,,,,
2023,10.19,,,,,
2024,10.04,,,,,
2025,9.86,9.86,9.86,9.86,9.86,9.86
2026,,9.62,9.71,9.54,9.38,9.49
2027,,9.42,9.6,9.28,8.94,9.15
2028,,9.23,9.49,9.01,8.55,8.82
2029,,9.04,9.39,8.75,8.18,8.51
2030,,8.87,9.3,8.5,7.82,8.23
2031,,8.44,9.19,8.27,7.46,7.94
2032,,8.03,9.09,8.03,7.18,7.66
2033,,7.64,8.99,7.81,6.88,7.42
2034,,7.27,8.87,7.58,6.59,7.15
2035,,6.92,8.79,7.37,6.32,6.9
2036,,6.59,8.69,7.17,6.08,6.67
2037,,6.27,8.61,6.97,5.87,6.44
2038,,5.96,8.5,6.75,5.65,6.23
2039,,5.68,8.39,6.59,5.44,6.01
2040,,5.4,8.3,6.4,5.26,5.81
2041,,5.14,8.22,6.24,5.08,5.6
2042,,4.89,8.13,6.07,4.93,5.4
2043,,4.66,8.02,5.91,4.78,5.24
2044,,4.43,7.95,5.73,4.65,5.04
2045,,4.22,7.83,5.58,4.51,4.84
2046,,4.01,7.74,5.43,4.4,4.67
2047,,3.82,7.65,5.29,4.28,4.5
2048,,3.63,7.57,5.16,4.16,4.34
2049,,3.46,7.48,5.03,4.05,4.2
2050,,3.29,7.4,4.92,3.96,4.05
