"year","Observed","Current forecast + historical growth.x","2% growth.x","2% growth + Gini reduction 1%.x","2% growth + Gini reduction 2%.x","4% growth.x","Current forecast + historical growth.y","2% growth.y","2% growth + Gini reduction 1%.y","2% growth + Gini reduction 2%.y","4% growth.y"
2010,0.602606452809762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.589430022915128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.576716495562436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.559337456723158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.547216626199403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.535334006151761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.524639880606703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.515524984198568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,0.504061729355229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,0.496266705470993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,0.503951561828744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,0.485518322233871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,0.479569527465318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,0.469977226398701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,0.462621704757637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,0.45526872125767,NA,NA,NA,NA,NA,42.96,43.39,43.22,43.05,42.9
2026,NA,NA,NA,NA,NA,NA,42.27,43.11,42.81,42.51,42.15
2027,NA,NA,NA,NA,NA,NA,41.61,42.89,42.42,41.95,41.43
2028,NA,NA,NA,NA,NA,NA,40.9,42.66,42.03,41.46,40.7
2029,NA,NA,NA,NA,NA,NA,40.15,42.43,41.61,40.96,39.93
2030,NA,NA,NA,NA,NA,NA,39.35,42.18,41.24,40.51,39.12
