Country Name,Income classification 2021,Population 2021,Region,Country Code
Aruba,High income,107700,Latin America & Caribbean,ABW
Aruba,High income,107700,Latin America & Caribbean,ABW
Aruba,High income,107700,Latin America & Caribbean,ABW
Afghanistan,Low income,40000412,"Middle East, North Africa, Afghanistan & Pakistan",AFG
Afghanistan,Low income,40000412,"Middle East, North Africa, Afghanistan & Pakistan",AFG
Afghanistan,Low income,40000412,"Middle East, North Africa, Afghanistan & Pakistan",AFG
Angola,Lower middle income,34532429,Sub-Saharan Africa,AGO
Angola,Lower middle income,34532429,Sub-Saharan Africa,AGO
Angola,Lower middle income,34532429,Sub-Saharan Africa,AGO
Albania,Upper middle income,2811666,Europe & Central Asia,ALB
Albania,Upper middle income,2811666,Europe & Central Asia,ALB
Albania,Upper middle income,2811666,Europe & Central Asia,ALB
Andorra,High income,78364,Europe & Central Asia,AND
Andorra,High income,78364,Europe & Central Asia,AND
Andorra,High income,78364,Europe & Central Asia,AND
United Arab Emirates,High income,9575152,"Middle East, North Africa, Afghanistan & Pakistan",ARE
United Arab Emirates,High income,9575152,"Middle East, North Africa, Afghanistan & Pakistan",ARE
United Arab Emirates,High income,9575152,"Middle East, North Africa, Afghanistan & Pakistan",ARE
Argentina,Upper middle income,NA,Latin America & Caribbean,ARG
Armenia,Upper middle income,2962300,Europe & Central Asia,ARM
Armenia,Upper middle income,2962300,Europe & Central Asia,ARM
Armenia,Upper middle income,2962300,Europe & Central Asia,ARM
American Samoa,High income,49225,East Asia & Pacific,ASM
American Samoa,High income,49225,East Asia & Pacific,ASM
American Samoa,High income,49225,East Asia & Pacific,ASM
Antigua and Barbuda,High income,92349,Latin America & Caribbean,ATG
Antigua and Barbuda,High income,92349,Latin America & Caribbean,ATG
Antigua and Barbuda,High income,92349,Latin America & Caribbean,ATG
Australia,High income,25685412,East Asia & Pacific,AUS
Australia,High income,25685412,East Asia & Pacific,AUS
Australia,High income,25685412,East Asia & Pacific,AUS
Austria,High income,8955797,Europe & Central Asia,AUT
Austria,High income,8955797,Europe & Central Asia,AUT
Austria,High income,8955797,Europe & Central Asia,AUT
Azerbaijan,Upper middle income,10137750,Europe & Central Asia,AZE
Azerbaijan,Upper middle income,10137750,Europe & Central Asia,AZE
Azerbaijan,Upper middle income,10137750,Europe & Central Asia,AZE
Burundi,Low income,12965481,Sub-Saharan Africa,BDI
Burundi,Low income,12965481,Sub-Saharan Africa,BDI
Burundi,Low income,12965481,Sub-Saharan Africa,BDI
Belgium,High income,11586195,Europe & Central Asia,BEL
