year,Observed,Current forecast + historical growth,2% growth,2% growth + Gini reduction 1%,2% growth + Gini reduction 2%,4% growth
2010,20.98,,,,,
2011,19.19,,,,,
2012,17.9,,,,,
2013,15.55,,,,,
2014,14.57,,,,,
2015,13.44,,,,,
2016,12.6,,,,,
2017,11.85,,,,,
2018,11.18,,,,,
2019,10.8,,,,,
2020,11.4,,,,,
2021,11.24,,,,,
2022,10.8,,,,,
2023,10.52,,,,,
2024,10.31,,,,,
2025,10.12,10.12,10.12,10.12,10.12,10.12
2026,,9.62,9.71,9.54,9.38,9.49
2027,,9.42,9.6,9.28,8.94,9.15
2028,,9.23,9.49,9.01,8.55,8.82
2029,,9.04,9.39,8.75,8.18,8.51
2030,,8.87,9.3,8.5,7.82,8.23
2031,,8.45,9.19,8.27,7.46,7.94
2032,,8.06,9.09,8.03,7.18,7.66
2033,,7.68,8.99,7.81,6.88,7.42
2034,,7.32,8.87,7.58,6.59,7.15
2035,,6.98,8.79,7.37,6.32,6.9
2036,,6.66,8.69,7.17,6.08,6.67
2037,,6.35,8.61,6.97,5.87,6.44
2038,,6.05,8.5,6.75,5.65,6.23
2039,,5.77,8.39,6.59,5.44,6.01
2040,,5.5,8.3,6.4,5.26,5.81
2041,,5.24,8.22,6.24,5.08,5.6
2042,,5,8.13,6.07,4.93,5.4
2043,,4.77,8.02,5.91,4.78,5.24
2044,,4.55,7.95,5.73,4.65,5.04
2045,,4.33,7.83,5.58,4.51,4.84
2046,,4.13,7.74,5.43,4.4,4.67
2047,,3.94,7.65,5.29,4.28,4.5
2048,,3.76,7.57,5.16,4.16,4.34
2049,,3.58,7.48,5.03,4.05,4.2
2050,,3.41,7.4,4.92,3.96,4.05
